datasetid,splitid,modelname,slicename,slicevalue,nrows,mae,rmse,mape
A1,roll_03,persistence,flag_pv_imputed,0,147,489.8877120148567,666.3876033382725,82.04271941067812
A1,roll_03,persistence,flag_pv_imputed,1,20,170.2420555587556,328.14125632276426,15.115467966437155
A1,roll_03,persistence,flag_temp_imputed,0,167,451.6067950740062,635.4412020496833,74.02747971675704
A1,roll_03,persistence,gaplendemandbin,0,167,451.6067950740062,635.4412020496833,74.02747971675704
A1,roll_03,persistence,gaplenpoolbin,0,167,451.6067950740062,635.4412020496833,74.02747971675704
A1,roll_03,persistence,gaplenpvbin,0,147,489.8877120148567,666.3876033382725,82.04271941067812
A1,roll_03,persistence,gaplenpvbin,1,2,329.47004519743064,464.4152307340205,32.19419975252581
A1,roll_03,persistence,gaplenpvbin,2,7,284.4953365047382,439.62940768232056,22.647738451511536
A1,roll_03,persistence,gaplenpvbin,3,11,68.58487865882574,183.21685022062059,7.216980969373702
A1,roll_03,persistence,gaplentempbin,0,167,451.6067950740062,635.4412020496833,74.02747971675704
A1,roll_03,persistence,imputed_any,0,147,489.8877120148567,666.3876033382725,82.04271941067812
A1,roll_03,persistence,imputed_any,1,20,170.2420555587556,328.14125632276426,15.115467966437155
A1,roll_03,persistence,imputed_count,0,147,489.8877120148567,666.3876033382725,82.04271941067812
A1,roll_03,persistence,imputed_count,1,20,170.2420555587556,328.14125632276426,15.115467966437155
A1,roll_03,persistence,is_daylight,0,104,399.2904136970634,610.7277321046823,35.58601198421636
A1,roll_03,persistence,is_daylight,1,63,537.9703452835627,674.2590562815245,137.4864105768242
A1,roll_03,persistence,overall,ALL,167,451.6067950740062,635.4412020496833,74.02747971675704
A1,roll_03,persistence,pool_on,0,167,451.6067950740062,635.4412020496833,74.02747971675704
A1,roll_03,persistence,pool_switch,0,167,451.6067950740062,635.4412020496833,74.02747971675704
A1,roll_03,persistence,pv_regime,high,7,930.2463895815833,1104.6681494983393,307.630188863596
A1,roll_03,persistence,pv_regime,low,29,486.93954023771073,595.72592485432,106.19747369468624
A1,roll_03,persistence,pv_regime,med,19,589.6545589852894,688.9608732205905,168.47062985214322
A1,roll_03,persistence,pv_regime,night,112,389.1243460953022,594.4660978460304,35.07597398496994
A1,roll_03,persistence,temp_bin,1,60,312.32137322397,494.99760583602716,30.42041796515742
A1,roll_03,persistence,temp_bin,2,99,521.3957673414204,703.1931029678727,95.22347756254432
A1,roll_03,persistence,temp_bin,3,8,632.6089271400277,687.1363399747343,138.77996951213683
A1,roll_03,rf,flag_demand_imputed,0,167,396.92659426775606,566.0935047184483,75.04912793623106
A1,roll_03,rf,flag_pool_imputed,0,167,396.92659426775606,566.0935047184483,75.04912793623106
A1,roll_03,rf,flag_pv_imputed,0,147,435.04424006857937,600.2997583210206,82.7100358125022
A1,roll_03,rf,flag_pv_imputed,1,20,116.76189763170473,164.96050884634886,18.741455045638226
A1,roll_03,rf,flag_temp_imputed,0,167,396.92659426775606,566.0935047184483,75.04912793623106
A1,roll_03,rf,gaplendemandbin,0,167,396.92659426775606,566.0935047184483,75.04912793623106
A1,roll_03,rf,gaplenpoolbin,0,167,396.92659426775606,566.0935047184483,75.04912793623106
A1,roll_03,rf,gaplenpvbin,0,147,435.04424006857937,600.2997583210206,82.7100358125022
A1,roll_03,rf,gaplenpvbin,1,2,32.40878072069361,32.80297296236471,5.0671059517639305
A1,roll_03,rf,gaplenpvbin,2,7,45.88435297402054,68.21384043503865,7.154439707401998
A1,roll_03,rf,gaplenpvbin,3,11,177.20272003405125,215.21985024162643,28.601255550674782
A1,roll_03,rf,gaplentempbin,0,167,396.92659426775606,566.0935047184483,75.04912793623106
A1,roll_03,rf,imputed_any,0,147,435.04424006857937,600.2997583210206,82.7100358125022
A1,roll_03,rf,imputed_any,1,20,116.76189763170473,164.96050884634886,18.741455045638226
A1,roll_03,rf,imputed_count,0,147,435.04424006857937,600.2997583210206,82.7100358125022
A1,roll_03,rf,imputed_count,1,20,116.76189763170473,164.96050884634886,18.741455045638226
A1,roll_03,rf,is_daylight,0,104,304.21553780359505,474.1611966887786,29.271329156105047
A1,roll_03,rf,is_daylight,1,63,549.9734176371646,691.6156671936092,150.61882750977244
A1,roll_03,rf,overall,ALL,167,396.92659426775606,566.0935047184483,75.04912793623106
A1,roll_03,rf,pool_on,0,167,396.92659426775606,566.0935047184483,75.04912793623106
A1,roll_03,rf,pool_switch,0,167,396.92659426775606,566.0935047184483,75.04912793623106
A1,roll_03,rf,pv_regime,high,7,835.466927450498,972.7838095381546,184.190727533259
A1,roll_03,rf,pv_regime,low,29,528.2155826240189,640.8447086006003,148.99201739534752
A1,roll_03,rf,pv_regime,med,19,541.2128546972696,695.7939585148542,182.73289345294668
A1,roll_03,rf,pv_regime,night,112,311.04621977872415,479.8133927473654,30.814069576309894
A1,roll_03,rf,temp_bin,1,60,190.44550490689232,289.320887672248,23.041721108206083
A1,roll_03,rf,temp_bin,2,99,512.2134714548342,674.3405936643594,98.93396666281492
A1,roll_03,rf,temp_bin,3,8,518.8596592841432,659.1611158694013,169.5297999049434
A1,roll_04,mlr,flag_demand_imputed,0,159,393.2985820296494,524.4556846210938,53.492271678076605
A1,roll_04,mlr,flag_demand_imputed,1,8,240.9761741557966,432.96871018643077,16.520724023614942
A1,roll_04,mlr,flag_pool_imputed,0,159,393.2985820296494,524.4556846210938,53.492271678076605
A1,roll_04,mlr,flag_pool_imputed,1,8,240.9761741557966,432.96871018643077,16.520724023614942
A1,roll_04,mlr,flag_pv_imputed,0,125,415.88952032531034,563.6523003149105,56.177029702567324
A1,roll_04,mlr,flag_pv_imputed,1,42,297.0498546499249,362.53914178193435,38.45972086148058
A1,roll_04,mlr,flag_temp_imputed,0,157,395.2050592498912,526.8024167753858,53.984187235567646
A1,roll_04,mlr,flag_temp_imputed,1,10,241.50896337277283,407.73526160888724,16.191959301898013
A1,roll_04,mlr,gaplendemandbin,0,159,393.2985820296494,524.4556846210938,53.492271678076605
A1,roll_04,mlr,gaplendemandbin,3,8,240.9761741557966,432.96871018643077,16.520724023614942
A1,roll_04,mlr,gaplenpoolbin,0,159,393.2985820296494,524.4556846210938,53.492271678076605
A1,roll_04,mlr,gaplenpoolbin,3,8,240.9761741557966,432.96871018643077,16.520724023614942
A1,roll_04,mlr,gaplenpvbin,0,125,415.88952032531034,563.6523003149105,56.177029702567324
A1,roll_04,mlr,gaplenpvbin,1,7,300.3426757475523,330.36820522791487,26.797751161107957
A1,roll_04,mlr,gaplenpvbin,2,19,311.62745074055545,343.5385190423857,39.307909877593396
A1,roll_04,mlr,gaplenpvbin,3,16,278.2983500620892,396.3818240643854,42.554608148759634
A1,roll_04,mlr,gaplentempbin,0,157,395.2050592498912,526.8024167753858,53.984187235567646
A1,roll_04,mlr,gaplentempbin,3,10,241.50896337277283,407.73526160888724,16.191959301898013
A1,roll_04,mlr,imputed_any,0,123,418.690323578719,567.0505938963399,56.84857652025085
A1,roll_04,mlr,imputed_any,1,44,294.6221394495046,359.3883577816586,37.387774477551034
A1,roll_04,mlr,imputed_count,0,123,418.690323578719,567.0505938963399,56.84857652025085
A1,roll_04,mlr,imputed_count,1,36,306.54346507032864,340.88709450457986,42.02489680064792
A1,roll_04,mlr,imputed_count,4,8,240.9761741557966,432.96871018643077,16.520724023614942
A1,roll_04,mlr,is_daylight,0,98,344.667792649065,425.26907174097244,39.89787645018726
A1,roll_04,mlr,is_daylight,1,69,444.70782980220673,631.418613488356,68.51369705630071
A1,roll_04,mlr,overall,ALL,167,386.00170021533313,520.439956029221,51.72117957486887
A1,roll_04,mlr,pool_on,0,167,386.00170021533313,520.439956029221,51.72117957486887
A1,roll_04,mlr,pool_switch,0,167,386.00170021533313,520.439956029221,51.72117957486887
A1,roll_04,mlr,pv_regime,high,7,411.11521730482394,483.15095797762643,52.52630088304504
A1,roll_04,mlr,pv_regime,low,48,388.3492672583238,527.6306618321319,71.07401431488921
A1,roll_04,mlr,pv_regime,med,9,716.6958626826339,1021.3846539178875,90.95438832857296
A1,roll_04,mlr,pv_regime,night,103,354.3053380804235,449.88933822221236,39.21952136650433
A1,roll_04,mlr,temp_bin,1,42,357.21282077340345,418.1606158566428,40.71388479109189
A1,roll_04,mlr,temp_bin,2,98,415.2833969758697,580.8470677742681,59.969389755740075
A1,roll_04,mlr,temp_bin,3,26,334.0492207290388,430.554637112252,40.022891588826184
A1,roll_04,mlr,temp_bin,4,1,76.29282088745083,76.29282088745083,9.858450405231773
A1,roll_04,persistence,flag_demand_imputed,0,159,377.67313250856006,548.3384414191545,46.29889435904378
A1,roll_04,persistence,flag_demand_imputed,1,8,173.20145427929262,449.95793287371225,8.329096318916275
A1,roll_04,persistence,flag_pool_imputed,0,159,377.67313250856006,548.3384414191545,46.29889435904378
A1,roll_04,persistence,flag_pool_imputed,1,8,173.20145427929262,449.95793287371225,8.329096318916275
A1,roll_04,persistence,flag_pv_imputed,0,125,421.9528650340532,593.3569766709453,53.534928978582144
A1,roll_04,persistence,flag_pv_imputed,1,42,206.94122794854144,359.1645987591767,17.5307345551553
