dataset_id,split_id,model_name,segment,n,mae,rmse,source_file
B3,roll_03,rf,all,167,413.67709977088623,591.7631250667937,preds_B3_roll_03.csv
B3,roll_03,rf,night,104,319.83108162667423,491.7709701534636,preds_B3_roll_03.csv
B3,roll_03,rf,day,63,568.5975106756172,727.3504548923405,preds_B3_roll_03.csv
B3,roll_04,mlr,all,167,407.0552557523215,541.5082768696994,preds_B3_roll_04.csv
B3,roll_04,mlr,night,98,382.2608170784112,480.4475362620125,preds_B3_roll_04.csv
B3,roll_04,mlr,day,69,442.2705454630927,617.947618489098,preds_B3_roll_04.csv
B3,roll_04,persistence,all,167,367.8780820544635,544.0314664782638,preds_B3_roll_04.csv
B3,roll_04,persistence,night,98,309.8077122337435,470.04071948194803,preds_B3_roll_04.csv
B3,roll_04,persistence,day,69,450.35483919113824,634.458324911539,preds_B3_roll_04.csv
B3,roll_04,rf,all,167,313.3112468603566,473.794211341563,preds_B3_roll_04.csv
B3,roll_04,rf,night,98,215.51803811590062,303.1731205506577,preds_B3_roll_04.csv
B3,roll_04,rf,day,69,452.20594913509115,642.4675395244075,preds_B3_roll_04.csv
B4,roll_01,mlr,all,127,521.8929088976153,666.3777822077642,preds_B4_roll_01.csv
B4,roll_01,mlr,night,64,527.3467883452713,648.511351908867,preds_B4_roll_01.csv
B4,roll_01,mlr,day,63,516.352459934917,684.0501579035852,preds_B4_roll_01.csv
B4,roll_01,persistence,all,127,539.4853657660749,725.1785567721017,preds_B4_roll_01.csv
B4,roll_01,persistence,night,64,491.4351855243867,653.5440689451399,preds_B4_roll_01.csv
B4,roll_01,persistence,day,63,588.2982472814404,791.3379254815911,preds_B4_roll_01.csv
B4,roll_01,rf,all,127,501.4776025591177,630.6523946918169,preds_B4_roll_01.csv
B4,roll_01,rf,night,64,524.4964918644928,663.6646811524,preds_B4_roll_01.csv
B4,roll_01,rf,day,63,478.0933340584191,595.2443605939804,preds_B4_roll_01.csv
B4,roll_02,mlr,all,138,492.64477942850635,641.072968963755,preds_B4_roll_02.csv
B4,roll_02,mlr,night,75,463.8828329893274,564.8543159630372,preds_B4_roll_02.csv
B4,roll_02,mlr,day,63,526.8851918561004,721.384892118209,preds_B4_roll_02.csv
B4,roll_02,persistence,all,138,508.13429437706225,739.8395940510944,preds_B4_roll_02.csv
B4,roll_02,persistence,night,75,409.9004097945559,582.1585908325401,preds_B4_roll_02.csv
B4,roll_02,persistence,day,63,625.079395070522,891.9204834453851,preds_B4_roll_02.csv
B4,roll_02,rf,all,138,498.18028902060723,648.8520657546286,preds_B4_roll_02.csv
B4,roll_02,rf,night,75,405.5715135208687,481.53079054776464,preds_B4_roll_02.csv
