datasetid,splitid,modelname,source,nrows_overall,mae_overall,rmse_overall,mape_overall,mae_dn_day,mae_dn_night,mape_dn_day,mape_dn_night,nrows_dn_day,nrows_dn_night,rmse_dn_day,rmse_dn_night
B4,roll_03,rf,native,124,492.04355873268713,643.5344101071485,89.10633754528236,552.6241566381714,429.4767117155479,139.85004210102232,36.698904971321376,63,61,711.3125106936969,565.0635369937357
B4,roll_04,mlr,native,97,411.6650466149288,566.1869091453849,57.75683628949256,429.4505828156651,371.94401576661744,69.71388943232294,31.052750937171357,67,30,603.5417962850382,472.2096239905392
B4,roll_04,persistence,native,97,405.3907669372235,574.9845325894179,51.88674127212665,443.8730019454219,319.44710875224706,63.57092285705844,25.79206906577895,67,30,632.6362943599826,418.4725403366145
B4,roll_04,rf,native,97,390.1606140930599,567.649739261809,60.379135255748,458.8219846046686,236.8168866171337,78.46694246838187,19.983032480865678,67,30,654.0365942269921,294.1521662648484
A1,roll_01,mlr,intersection,127,493.4045039034738,641.901578514054,47.6121268134002,516.9743292435791,470.2029570843078,53.98465773692944,41.33916668555112,63,64,678.0857837548565,604.1698725981164
A1,roll_01,persistence,intersection,127,539.4853657660749,725.1785567721017,49.78550559091813,588.2982472814404,491.4351855243867,58.39777196399901,41.30780587991661,63,64,791.3379254815911,653.5440689451399
A1,roll_01,rf,intersection,127,467.2286108906501,606.7816512773553,44.93763825208661,469.76509566157927,464.73175869426655,50.862587367519374,39.10526646658248,63,64,624.2582125741254,589.0719737917186
A1,roll_02,mlr,intersection,138,484.9866663176612,663.769457315254,83.06545703575574,582.0362026919056,403.46505576329565,133.86379274394022,40.39485504088078,63,75,804.7750262544806,516.3802998887581
A1,roll_02,persistence,intersection,138,508.1342943770623,739.8395940510944,77.90987083169425,625.079395070522,409.9004097945559,129.65683579995323,34.44242025835671,63,75,891.9204834453851,582.1585908325401
A1,roll_02,rf,intersection,138,443.9480272444274,615.5813339054721,79.59692662455716,587.577396693214,323.29935690744685,138.67782811025938,29.968969376567355,63,75,779.3952437946209,432.41931275036495
A1,roll_03,mlr,intersection,124,532.9709071599834,671.7537671949054,91.38686155896384,562.5051207646846,502.4683586829967,134.13215264353576,47.24008552079936,63,61,699.4272184352142,641.9218839264229
A1,roll_03,persistence,intersection,124,518.2096232441302,689.6275557071873,91.20248985135149,537.9703452835627,497.8010086788148,137.4864105768242,43.40106352832232,63,61,674.2590562815245,705.1484230421763
A1,roll_03,rf,intersection,124,477.7197358496065,637.0360587841617,93.59292136954352,549.9734176371646,403.0970808886855,150.61882750977244,34.69731338865134,63,61,691.6156671936092,575.2564933829386
A1,roll_04,mlr,intersection,97,404.98327033020814,569.1523675604146,55.54056603897295,439.32328276460345,328.2905758933919,68.04439832075322,27.61534060966372,67,30,630.2652133309558,400.2892485612098
A1,roll_04,persistence,intersection,97,405.3907669372235,574.9845325894179,51.88674127212665,443.8730019454219,319.44710875224706,63.57092285705844,25.79206906577895,67,30,632.6362943599826,418.4725403366145
A1,roll_04,rf,intersection,97,362.0384100943437,541.9174509941738,49.9920147842549,437.5095183644866,193.48626829102423,64.7647595450059,16.999551485244282,67,30,626.9887588564599,267.56496083865983
A2,roll_01,mlr,intersection,127,493.4045039034758,641.9015785140579,47.61212681340034,516.9743292435832,470.2029570843076,53.9846577369298,41.33916668555101,63,64,678.0857837548635,604.1698725981167
A2,roll_01,persistence,intersection,127,539.4853657660749,725.1785567721017,49.78550559091813,588.2982472814404,491.4351855243867,58.39777196399901,41.30780587991661,63,64,791.3379254815911,653.5440689451399
A2,roll_01,rf,intersection,127,474.3682132657962,613.4559104778855,46.50067533883458,485.1548644449308,463.7501035113358,52.11000985880221,40.97898667074145,63,64,629.5103362811603,597.2309798560494
A2,roll_02,mlr,intersection,138,484.986666317662,663.7694573152538,83.06545703575581,582.0362026919051,403.46505576329776,133.86379274394017,40.394855040881005,63,75,804.7750262544789,516.3802998887597
A2,roll_02,persistence,intersection,138,508.1342943770623,739.8395940510944,77.90987083169425,625.079395070522,409.9004097945559,129.65683579995323,34.44242025835671,63,75,891.9204834453851,582.1585908325401
A2,roll_02,rf,intersection,138,446.3679286630693,617.9508670085376,78.58118980814312,593.0445967069707,323.15952750619215,134.3095267092146,31.769386811243088,63,75,795.5062097639159,413.5832627392834
A2,roll_03,mlr,intersection,124,532.9709071599834,671.7537671949053,91.38686155896386,562.505120764685,502.4683586829967,134.13215264353593,47.24008552079931,63,61,699.4272184352144,641.9218839264228
A2,roll_03,persistence,intersection,124,518.2096232441302,689.6275557071873,91.20248985135149,537.9703452835627,497.8010086788148,137.4864105768242,43.40106352832232,63,61,674.2590562815245,705.1484230421763
A2,roll_03,rf,intersection,124,476.2929787563175,639.7839999893728,79.0554975202536,547.6638644049647,402.5820640700097,121.13232511731682,35.59910180525395,63,61,697.5747682268301,574.0231496424927
A2,roll_04,mlr,intersection,97,404.9832703302136,569.1523675604208,55.54056603897385,439.3232827646111,328.2905758933926,68.04439832075457,27.61534060966352,67,30,630.2652133309646,400.2892485612069
A2,roll_04,persistence,intersection,97,405.3907669372235,574.9845325894179,51.88674127212665,443.8730019454219,319.44710875224706,63.57092285705844,25.79206906577895,67,30,632.6362943599826,418.4725403366145
