dataset_id,split_id,model_name,K,n_test,n_anom_resid,rate_anom_resid,n_anom_raw,rate_anom_raw
A1,roll_02,rf,5,167,1,0.005988023952095809,0,0.0
A1,roll_02,rf,6,167,1,0.005988023952095809,0,0.0
A1,roll_02,rf,7,167,1,0.005988023952095809,0,0.0
A1,roll_02,rf,8,167,0,0.0,0,0.0
A1,roll_02,rf,9,167,0,0.0,0,0.0
A1,roll_02,rf,10,167,0,0.0,0,0.0
A1,roll_02,rf,11,167,0,0.0,0,0.0
A1,roll_02,rf,12,167,0,0.0,0,0.0
A1,roll_02,rf,13,167,0,0.0,0,0.0
A1,roll_02,rf,14,167,0,0.0,0,0.0
A1,roll_02,rf,15,167,0,0.0,0,0.0
A2,roll_02,mlr,3,167,13,0.07784431137724551,1,0.005988023952095809
A2,roll_02,mlr,4,167,6,0.03592814371257485,0,0.0
A2,roll_02,mlr,5,167,3,0.017964071856287425,0,0.0
A2,roll_02,mlr,6,167,1,0.005988023952095809,0,0.0
A2,roll_02,mlr,7,167,1,0.005988023952095809,0,0.0
A2,roll_02,mlr,8,167,1,0.005988023952095809,0,0.0
A2,roll_02,mlr,9,167,0,0.0,0,0.0
A2,roll_02,mlr,10,167,0,0.0,0,0.0
A2,roll_02,mlr,11,167,0,0.0,0,0.0
A2,roll_02,mlr,12,167,0,0.0,0,0.0
A2,roll_02,mlr,13,167,0,0.0,0,0.0
A2,roll_02,mlr,14,167,0,0.0,0,0.0
A2,roll_02,mlr,15,167,0,0.0,0,0.0
A2,roll_02,persistence,3,167,34,0.20359281437125748,1,0.005988023952095809
A2,roll_02,persistence,4,167,20,0.11976047904191617,0,0.0
A2,roll_02,persistence,5,167,11,0.0658682634730539,0,0.0
A2,roll_02,persistence,6,167,6,0.03592814371257485,0,0.0
A2,roll_02,persistence,7,167,4,0.023952095808383235,0,0.0
A2,roll_02,persistence,8,167,2,0.011976047904191617,0,0.0
A2,roll_02,persistence,9,167,2,0.011976047904191617,0,0.0
A2,roll_02,persistence,10,167,2,0.011976047904191617,0,0.0
A2,roll_02,persistence,11,167,1,0.005988023952095809,0,0.0
A2,roll_02,persistence,12,167,1,0.005988023952095809,0,0.0
A2,roll_02,persistence,13,167,0,0.0,0,0.0
A2,roll_02,persistence,14,167,0,0.0,0,0.0
A2,roll_02,persistence,15,167,0,0.0,0,0.0
A2,roll_02,rf,3,167,8,0.04790419161676647,1,0.005988023952095809
A2,roll_02,rf,4,167,2,0.011976047904191617,0,0.0
A2,roll_02,rf,5,167,1,0.005988023952095809,0,0.0
A2,roll_02,rf,6,167,1,0.005988023952095809,0,0.0
A2,roll_02,rf,7,167,1,0.005988023952095809,0,0.0
A2,roll_02,rf,8,167,0,0.0,0,0.0
A2,roll_02,rf,9,167,0,0.0,0,0.0
A2,roll_02,rf,10,167,0,0.0,0,0.0
A2,roll_02,rf,11,167,0,0.0,0,0.0
A2,roll_02,rf,12,167,0,0.0,0,0.0
A2,roll_02,rf,13,167,0,0.0,0,0.0
A2,roll_02,rf,14,167,0,0.0,0,0.0
A2,roll_02,rf,15,167,0,0.0,0,0.0
A3,roll_02,mlr,3,167,9,0.05389221556886228,1,0.005988023952095809
A3,roll_02,mlr,4,167,2,0.011976047904191617,0,0.0
A3,roll_02,mlr,5,167,1,0.005988023952095809,0,0.0
A3,roll_02,mlr,6,167,1,0.005988023952095809,0,0.0
A3,roll_02,mlr,7,167,0,0.0,0,0.0
A3,roll_02,mlr,8,167,0,0.0,0,0.0
A3,roll_02,mlr,9,167,0,0.0,0,0.0
A3,roll_02,mlr,10,167,0,0.0,0,0.0
A3,roll_02,mlr,11,167,0,0.0,0,0.0
A3,roll_02,mlr,12,167,0,0.0,0,0.0
A3,roll_02,mlr,13,167,0,0.0,0,0.0
A3,roll_02,mlr,14,167,0,0.0,0,0.0
A3,roll_02,mlr,15,167,0,0.0,0,0.0
A3,roll_02,persistence,3,167,34,0.20359281437125748,1,0.005988023952095809
A3,roll_02,persistence,4,167,20,0.11976047904191617,0,0.0
A3,roll_02,persistence,5,167,11,0.0658682634730539,0,0.0
A3,roll_02,persistence,6,167,6,0.03592814371257485,0,0.0
A3,roll_02,persistence,7,167,4,0.023952095808383235,0,0.0
A3,roll_02,persistence,8,167,2,0.011976047904191617,0,0.0
A3,roll_02,persistence,9,167,2,0.011976047904191617,0,0.0
A3,roll_02,persistence,10,167,2,0.011976047904191617,0,0.0
A3,roll_02,persistence,11,167,1,0.005988023952095809,0,0.0
A3,roll_02,persistence,12,167,1,0.005988023952095809,0,0.0
A3,roll_02,persistence,13,167,0,0.0,0,0.0
A3,roll_02,persistence,14,167,0,0.0,0,0.0
A3,roll_02,persistence,15,167,0,0.0,0,0.0
A3,roll_02,rf,3,167,9,0.05389221556886228,1,0.005988023952095809
A3,roll_02,rf,4,167,2,0.011976047904191617,0,0.0
A3,roll_02,rf,5,167,1,0.005988023952095809,0,0.0
A3,roll_02,rf,6,167,1,0.005988023952095809,0,0.0
A3,roll_02,rf,7,167,1,0.005988023952095809,0,0.0
A3,roll_02,rf,8,167,0,0.0,0,0.0
A3,roll_02,rf,9,167,0,0.0,0,0.0
A3,roll_02,rf,10,167,0,0.0,0,0.0
A3,roll_02,rf,11,167,0,0.0,0,0.0
A3,roll_02,rf,12,167,0,0.0,0,0.0
A3,roll_02,rf,13,167,0,0.0,0,0.0
A3,roll_02,rf,14,167,0,0.0,0,0.0
A3,roll_02,rf,15,167,0,0.0,0,0.0
A4,roll_02,mlr,3,138,2,0.014492753623188406,2,0.014492753623188406
A4,roll_02,mlr,4,138,1,0.007246376811594203,0,0.0
A4,roll_02,mlr,5,138,1,0.007246376811594203,0,0.0
A4,roll_02,mlr,6,138,0,0.0,0,0.0
A4,roll_02,mlr,7,138,0,0.0,0,0.0
A4,roll_02,mlr,8,138,0,0.0,0,0.0
A4,roll_02,mlr,9,138,0,0.0,0,0.0
A4,roll_02,mlr,10,138,0,0.0,0,0.0
A4,roll_02,mlr,11,138,0,0.0,0,0.0
A4,roll_02,mlr,12,138,0,0.0,0,0.0
A4,roll_02,mlr,13,138,0,0.0,0,0.0
A4,roll_02,mlr,14,138,0,0.0,0,0.0
A4,roll_02,mlr,15,138,0,0.0,0,0.0
A4,roll_02,persistence,3,138,21,0.15217391304347827,1,0.007246376811594203
A4,roll_02,persistence,4,138,10,0.07246376811594203,0,0.0
A4,roll_02,persistence,5,138,5,0.036231884057971016,0,0.0
A4,roll_02,persistence,6,138,2,0.014492753623188406,0,0.0
A4,roll_02,persistence,7,138,2,0.014492753623188406,0,0.0
A4,roll_02,persistence,8,138,1,0.007246376811594203,0,0.0
A4,roll_02,persistence,9,138,1,0.007246376811594203,0,0.0
A4,roll_02,persistence,10,138,0,0.0,0,0.0
A4,roll_02,persistence,11,138,0,0.0,0,0.0
A4,roll_02,persistence,12,138,0,0.0,0,0.0
A4,roll_02,persistence,13,138,0,0.0,0,0.0
