datasetid,splitid,modelname,slicename,slicevalue,nrows,mae,rmse,mape,intersection,intersectionnrows
A1,roll_02,persistence,pool_on,0,138,508.13429437706225,739.8395940510944,77.90987083169425,A1..B4_by_ts_target_utc,138
A1,roll_02,persistence,pool_switch,0,138,508.13429437706225,739.8395940510944,77.90987083169425,A1..B4_by_ts_target_utc,138
A1,roll_02,persistence,pv_regime,high,4,843.5037588234306,873.7891258005028,440.0433006712523,A1..B4_by_ts_target_utc,138
A1,roll_02,persistence,pv_regime,low,31,711.9626111037645,1008.329260275867,66.29987603745661,A1..B4_by_ts_target_utc,138
A1,roll_02,persistence,pv_regime,med,18,567.3528489785648,844.534121201102,228.40271758627907,A1..B4_by_ts_target_utc,138
A1,roll_02,persistence,pv_regime,night,85,405.4744160342354,575.2254372349396,33.23345762793671,A1..B4_by_ts_target_utc,138
A1,roll_02,persistence,temp_bin,0,3,382.3570183568704,545.265013648467,19.868913894800745,A1..B4_by_ts_target_utc,138
A1,roll_02,persistence,temp_bin,1,68,373.1117492308321,562.9746647077951,31.641966270073702,A1..B4_by_ts_target_utc,138
A1,roll_02,persistence,temp_bin,2,65,660.379040866371,901.7692215018247,121.2071109849189,A1..B4_by_ts_target_utc,138
A1,roll_02,persistence,temp_bin,3,2,339.6124824766389,342.7432627370007,330.9197563523324,A1..B4_by_ts_target_utc,138
A1,roll_02,rf,flag_demand_imputed,0,138,443.9480272444274,615.5813339054721,79.59692662455716,A1..B4_by_ts_target_utc,138
A1,roll_02,rf,flag_pool_imputed,0,138,443.9480272444274,615.5813339054721,79.59692662455716,A1..B4_by_ts_target_utc,138
A1,roll_02,rf,flag_pv_imputed,0,138,443.9480272444274,615.5813339054721,79.59692662455716,A1..B4_by_ts_target_utc,138
A1,roll_02,rf,flag_temp_imputed,0,138,443.9480272444274,615.5813339054721,79.59692662455716,A1..B4_by_ts_target_utc,138
A1,roll_02,rf,gaplendemandbin,0,138,443.9480272444274,615.5813339054721,79.59692662455716,A1..B4_by_ts_target_utc,138
A1,roll_02,rf,gaplenpoolbin,0,138,443.9480272444274,615.5813339054721,79.59692662455716,A1..B4_by_ts_target_utc,138
A1,roll_02,rf,gaplenpvbin,0,138,443.9480272444274,615.5813339054721,79.59692662455716,A1..B4_by_ts_target_utc,138
A1,roll_02,rf,gaplentempbin,0,138,443.9480272444274,615.5813339054721,79.59692662455716,A1..B4_by_ts_target_utc,138
A1,roll_02,rf,imputed_any,0,138,443.9480272444274,615.5813339054721,79.59692662455716,A1..B4_by_ts_target_utc,138
A1,roll_02,rf,imputed_count,0,138,443.9480272444274,615.5813339054721,79.59692662455716,A1..B4_by_ts_target_utc,138
A1,roll_02,rf,is_daylight,0,75,323.29935690744685,432.41931275036495,29.968969376567355,A1..B4_by_ts_target_utc,138
