datasetid,splitid,modelname,k,n_test,n_clean,n_imputed,residual_alerts_total,residual_alerts_clean,residual_alerts_imputed,residual_alert_rate_total,residual_alert_rate_clean,residual_alert_rate_imputed,residual_ratio_alerts_imputed_to_clean,raw_alerts_total,raw_alerts_clean,raw_alerts_imputed,raw_alert_rate_total,raw_alert_rate_clean,raw_alert_rate_imputed,raw_ratio_alerts_imputed_to_clean,residual_over_raw_rate_clean
A1,roll_03,persistence,5,167,147,20,9,9,0,0.05389221556886228,0.061224489795918366,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_03,persistence,6,167,147,20,6,6,0,0.03592814371257485,0.04081632653061224,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_03,persistence,7,167,147,20,1,1,0,0.005988023952095809,0.006802721088435374,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_03,persistence,8,167,147,20,1,1,0,0.005988023952095809,0.006802721088435374,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_03,persistence,9,167,147,20,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_03,persistence,10,167,147,20,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_03,persistence,11,167,147,20,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_03,persistence,12,167,147,20,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_03,persistence,13,167,147,20,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_03,persistence,14,167,147,20,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_03,persistence,15,167,147,20,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_03,rf,3,167,147,20,13,13,0,0.07784431137724551,0.08843537414965986,0.0,0.0,11,11,0,0.0658682634730539,0.07482993197278912,0.0,0.0,1.1818181818181819
A1,roll_03,rf,4,167,147,20,5,5,0,0.029940119760479042,0.034013605442176874,0.0,0.0,3,3,0,0.017964071856287425,0.02040816326530612,0.0,0.0,1.666666666666667
A1,roll_03,rf,5,167,147,20,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_03,rf,6,167,147,20,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_03,rf,7,167,147,20,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_03,rf,8,167,147,20,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_03,rf,9,167,147,20,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_03,rf,10,167,147,20,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_03,rf,11,167,147,20,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_03,rf,12,167,147,20,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_03,rf,13,167,147,20,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_03,rf,14,167,147,20,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_03,rf,15,167,147,20,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_04,mlr,3,167,123,44,8,7,1,0.04790419161676647,0.056910569105691054,0.022727272727272728,0.3993506493506494,7,7,0,0.041916167664670656,0.056910569105691054,0.0,0.0,1.0
A1,roll_04,mlr,4,167,123,44,5,5,0,0.029940119760479042,0.04065040650406504,0.0,0.0,2,2,0,0.011976047904191617,0.016260162601626018,0.0,0.0,2.4999999999999996
A1,roll_04,mlr,5,167,123,44,2,2,0,0.011976047904191617,0.016260162601626018,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_04,mlr,6,167,123,44,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_04,mlr,7,167,123,44,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_04,mlr,8,167,123,44,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_04,mlr,9,167,123,44,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_04,mlr,10,167,123,44,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_04,mlr,11,167,123,44,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_04,mlr,12,167,123,44,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_04,mlr,13,167,123,44,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_04,mlr,14,167,123,44,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_04,mlr,15,167,123,44,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_04,persistence,3,167,123,44,24,21,3,0.1437125748502994,0.17073170731707318,0.06818181818181818,0.3993506493506493,7,7,0,0.041916167664670656,0.056910569105691054,0.0,0.0,3.0000000000000004
A1,roll_04,persistence,4,167,123,44,10,9,1,0.059880239520958084,0.07317073170731707,0.022727272727272728,0.3106060606060606,2,2,0,0.011976047904191617,0.016260162601626018,0.0,0.0,4.499999999999999
A1,roll_04,persistence,5,167,123,44,5,5,0,0.029940119760479042,0.04065040650406504,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_04,persistence,6,167,123,44,4,4,0,0.023952095808383235,0.032520325203252036,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_04,persistence,7,167,123,44,1,1,0,0.005988023952095809,0.008130081300813009,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_04,persistence,8,167,123,44,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_04,persistence,9,167,123,44,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_04,persistence,10,167,123,44,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_04,persistence,11,167,123,44,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_04,persistence,12,167,123,44,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_04,persistence,13,167,123,44,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_04,persistence,14,167,123,44,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_04,persistence,15,167,123,44,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_04,rf,3,167,123,44,6,6,0,0.03592814371257485,0.04878048780487805,0.0,0.0,7,7,0,0.041916167664670656,0.056910569105691054,0.0,0.0,0.8571428571428572
A1,roll_04,rf,4,167,123,44,6,6,0,0.03592814371257485,0.04878048780487805,0.0,0.0,2,2,0,0.011976047904191617,0.016260162601626018,0.0,0.0,3.0
A1,roll_04,rf,5,167,123,44,2,2,0,0.011976047904191617,0.016260162601626018,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_04,rf,6,167,123,44,1,1,0,0.005988023952095809,0.008130081300813009,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_04,rf,7,167,123,44,1,1,0,0.005988023952095809,0.008130081300813009,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_04,rf,8,167,123,44,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_04,rf,9,167,123,44,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_04,rf,10,167,123,44,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
A1,roll_04,rf,11,167,123,44,0,0,0,0.0,0.0,0.0,inf,0,0,0,0.0,0.0,0.0,inf,inf
