ts_utc,demand_w_obs,demand_count_samples,demand_coverage_minutes,pv_w_obs,pv_count_samples,pv_coverage_minutes,pv_count_samples_clipped_noise,flag_pv_clipped_noise_hour,pv_count_samples_forced_night_zero,flag_pv_forced_night_zero_hour,pool_w_obs,pool_count_samples,pool_coverage_minutes,temp_sensor_c,temp_sensor_count_samples,temp_sensor_coverage_minutes,sun_altitude_hour_mid_deg,is_daylight_hour,temp_meteo_c,outdoor_temp_c_effective,outdoor_temp_c,flag_demand_missing_raw,flag_pv_missing_raw,flag_pool_missing_raw,flag_temp_sensor_missing_raw,flag_temp_meteo_missing_raw,flag_temp_sensor_missing,flag_temp_used_meteo,hour,day_of_week,month,is_weekend,is_holiday_it,hour_sin,hour_cos
2026-01-10 09:00:00+00:00,2000.1470279075832,1,0.0,219.52816927322223,1,0.0,0,0,0,0,19.84720943294444,1,0.0,0.3761252006388889,1,0.0,17.290795086897543,1,,0.3761252006388889,0.3761252006388889,0,0,0,0,1,0,0,9,5,1,1,0,0.7071067811865476,-0.7071067811865475
2026-01-10 10:00:00+00:00,1770.5304107042775,1,0.0,551.1737871601666,1,0.0,0,0,0,0,20.237300741805555,1,0.0,1.4439068936666668,1,0.0,21.240250096177412,1,,1.4439068936666668,1.4439068936666668,0,0,0,0,1,0,0,10,5,1,1,0,0.49999999999999994,-0.8660254037844387
2026-01-10 11:00:00+00:00,2099.097986216222,1,0.0,858.4309824759999,1,0.0,0,0,0,0,20.504398869444447,1,0.0,2.9905849596666667,1,0.0,22.625780850416337,1,,2.9905849596666667,2.9905849596666667,0,0,0,0,1,0,0,11,5,1,1,0,0.258819045102521,-0.9659258262890682
2026-01-10 12:00:00+00:00,2066.14777083575,1,0.0,953.5674782859444,1,0.0,0,0,0,0,20.939178619722224,1,0.0,4.761432523472222,1,0.0,21.2815611322808,1,,4.761432523472222,4.761432523472222,0,0,0,0,1,0,0,12,5,1,1,0,1.2246467991473532e-16,-1.0
2026-01-10 13:00:00+00:00,1718.2276665944446,1,0.0,601.0615747215555,1,0.0,0,0,0,0,20.52605448430556,1,0.0,5.844635727916667,1,0.0,17.36875997974741,1,,5.844635727916667,5.844635727916667,0,0,0,0,1,0,0,13,5,1,1,0,-0.2588190451025208,-0.9659258262890683
2026-01-10 14:00:00+00:00,2298.0285432916944,1,0.0,152.53398881961112,1,0.0,0,0,0,0,20.007741751833333,1,0.0,5.697731851527777,1,0.0,11.303253850348163,1,,5.697731851527777,5.697731851527777,0,0,0,0,1,0,0,14,5,1,1,0,-0.4999999999999997,-0.8660254037844388
2026-01-10 15:00:00+00:00,2539.5653047919445,1,0.0,0.0,1,0.0,1,1,0,0,19.09460057861111,1,0.0,4.503772726749999,1,0.0,3.6602425738664843,1,,4.503772726749999,4.503772726749999,0,0,0,0,1,0,0,15,5,1,1,0,-0.7071067811865471,-0.7071067811865479
2026-01-10 16:00:00+00:00,1708.9707138076667,1,0.0,0.0,1,0.0,0,0,1,1,18.63007526722222,1,0.0,3.638796201333333,1,0.0,-5.532643594078807,0,,3.638796201333333,3.638796201333333,0,0,0,0,1,0,0,16,5,1,1,0,-0.8660254037844385,-0.5000000000000004
2026-01-10 17:00:00+00:00,3623.9131346842223,1,0.0,0.0,1,0.0,0,0,1,1,19.11787354247222,1,0.0,2.979079319472222,1,0.0,-15.342982005669871,0,,2.979079319472222,2.979079319472222,0,0,0,0,1,0,0,17,5,1,1,0,-0.9659258262890683,-0.25881904510252063
2026-01-10 18:00:00+00:00,1101.2175339098333,1,0.0,0.0,1,0.0,0,0,1,1,18.767971734222225,1,0.0,3.879818203,1,0.0,-25.650112338479754,0,,3.879818203,3.879818203,0,0,0,0,1,0,0,18,5,1,1,0,-1.0,-1.8369701987210297e-16
2026-01-10 19:00:00+00:00,1849.9723726721668,1,0.0,0.0,1,0.0,0,0,1,1,19.448734104222225,1,0.0,5.4740829125833335,1,0.0,-36.1413574686241,0,,5.4740829125833335,5.4740829125833335,0,0,0,0,1,0,0,19,5,1,1,0,-0.9659258262890684,0.2588190451025203
2026-01-10 20:00:00+00:00,1455.1370739963888,1,0.0,0.0,1,0.0,0,0,1,1,19.494996267166663,1,0.0,5.637012191416667,1,0.0,-46.43716661266865,0,,5.637012191416667,5.637012191416667,0,0,0,0,1,0,0,20,5,1,1,0,-0.8660254037844386,0.5000000000000001
2026-01-10 21:00:00+00:00,775.8096372270278,1,0.0,0.0,1,0.0,0,0,1,1,19.394528670722224,1,0.0,5.611597496861111,1,0.0,-55.914549628884025,0,,5.611597496861111,5.611597496861111,0,0,0,0,1,0,0,21,5,1,1,0,-0.7071067811865477,0.7071067811865474
2026-01-10 22:00:00+00:00,609.0600654670277,1,0.0,0.0,1,0.0,0,0,1,1,19.664133929416668,1,0.0,5.645945834,1,0.0,-63.31230680717188,0,,5.645945834,5.645945834,0,0,0,0,1,0,0,22,5,1,1,0,-0.5000000000000004,0.8660254037844384
2026-01-10 23:00:00+00:00,410.7482779138611,1,0.0,0.0,1,0.0,0,0,1,1,19.87883380708333,1,0.0,5.024357610277778,1,0.0,-66.34262210830569,0,,5.024357610277778,5.024357610277778,0,0,0,0,1,0,0,23,5,1,1,0,-0.25881904510252157,0.9659258262890681
2026-01-11 00:00:00+00:00,405.205528771,1,0.0,0.0,1,0.0,0,0,1,1,20.179024266472226,1,0.0,4.23442964025,1,0.0,-63.39846820920916,0,,4.23442964025,4.23442964025,0,0,0,0,1,0,0,0,6,1,1,0,0.0,1.0
2026-01-11 01:00:00+00:00,475.14375079194434,1,0.0,0.0,1,0.0,0,0,1,1,20.182190243472224,1,0.0,3.487890483277777,1,0.0,-56.04612467265066,0,,3.487890483277777,3.487890483277777,0,0,0,0,1,0,0,1,6,1,1,0,0.25881904510252074,0.9659258262890683
2026-01-11 02:00:00+00:00,401.84106967408337,1,0.0,0.0,1,0.0,0,0,1,1,20.26443000358333,1,0.0,3.631823816972222,1,0.0,-46.584702061199685,0,,3.631823816972222,3.631823816972222,0,0,0,0,1,0,0,2,6,1,1,0,0.49999999999999994,0.8660254037844387
2026-01-11 03:00:00+00:00,367.7446838216111,1,0.0,0.0,1,0.0,0,0,1,1,20.13319601611111,1,0.0,3.390917739777777,1,0.0,-36.28955226543579,0,,3.390917739777777,3.390917739777777,0,0,0,0,1,0,0,3,6,1,1,0,0.7071067811865476,0.7071067811865476
2026-01-11 04:00:00+00:00,963.4637856096666,1,0.0,0.0,1,0.0,0,0,1,1,20.51800392588889,1,0.0,2.6941748748611114,1,0.0,-25.789535634346063,0,,2.6941748748611114,2.6941748748611114,0,0,0,0,1,0,0,4,6,1,1,0,0.8660254037844386,0.5000000000000001
2026-01-11 05:00:00+00:00,1813.34006411675,1,0.0,0.0,1,0.0,0,0,1,1,20.618104810138888,1,0.0,1.6470115683055555,1,0.0,-15.46590859752949,0,,1.6470115683055555,1.6470115683055555,0,0,0,0,1,0,0,5,6,1,1,0,0.9659258262890683,0.25881904510252074
2026-01-11 06:00:00+00:00,1868.444830851611,1,0.0,0.0,1,0.0,0,0,1,1,20.52741439736111,1,0.0,0.7204048023333334,1,0.0,-5.631221334440302,0,,0.7204048023333334,0.7204048023333334,0,0,0,0,1,0,0,6,6,1,1,0,1.0,6.123233995736766e-17
2026-01-11 07:00:00+00:00,1998.770939867861,1,0.0,0.0,1,0.0,0,0,1,1,20.162841653277777,1,0.0,0.4501258596944444,1,0.0,3.5973935306501907,1,,0.4501258596944444,0.4501258596944444,0,0,0,0,1,0,0,7,6,1,1,0,0.9659258262890683,-0.25881904510252063
2026-01-11 08:00:00+00:00,1620.6764299421666,1,0.0,716.8608431172778,1,0.0,0,0,0,0,20.805254606944445,1,0.0,2.21591780575,1,0.0,11.281117340498762,1,,2.21591780575,2.21591780575,0,0,0,0,1,0,0,8,6,1,1,0,0.8660254037844387,-0.4999999999999998
