datasetid,splitid,modelname,detector,k,slicename,slicevalue,nrows,nalerts,alert_rate
A1,roll_01,persistence,residual,8,imputed_any,0,156,0,0.0
A1,roll_01,persistence,residual,8,imputed_any,1,11,0,0.0
A1,roll_01,persistence,residual,8,overall,ALL,167,0,0.0
A1,roll_01,persistence,residual,9,gaplendemandbin,0,167,0,0.0
A1,roll_01,persistence,residual,9,gaplenpoolbin,0,167,0,0.0
A1,roll_01,persistence,residual,9,gaplenpvbin,0,156,0,0.0
A1,roll_01,persistence,residual,9,gaplenpvbin,2,11,0,0.0
A1,roll_01,persistence,residual,9,gaplentempbin,0,167,0,0.0
A1,roll_01,persistence,residual,9,imputed_any,0,156,0,0.0
A1,roll_01,persistence,residual,9,imputed_any,1,11,0,0.0
A1,roll_01,persistence,residual,9,overall,ALL,167,0,0.0
A1,roll_01,persistence,residual,10,gaplendemandbin,0,167,0,0.0
A1,roll_01,persistence,residual,10,gaplenpoolbin,0,167,0,0.0
A1,roll_01,persistence,residual,10,gaplenpvbin,0,156,0,0.0
A1,roll_01,persistence,residual,10,gaplenpvbin,2,11,0,0.0
A1,roll_01,persistence,residual,10,gaplentempbin,0,167,0,0.0
A1,roll_01,persistence,residual,10,imputed_any,0,156,0,0.0
A1,roll_01,persistence,residual,10,imputed_any,1,11,0,0.0
A1,roll_01,persistence,residual,10,overall,ALL,167,0,0.0
A1,roll_01,persistence,residual,11,gaplendemandbin,0,167,0,0.0
A1,roll_01,persistence,residual,11,gaplenpoolbin,0,167,0,0.0
A1,roll_01,persistence,residual,11,gaplenpvbin,0,156,0,0.0
A1,roll_01,persistence,residual,11,gaplenpvbin,2,11,0,0.0
A1,roll_01,persistence,residual,11,gaplentempbin,0,167,0,0.0
A1,roll_01,persistence,residual,11,imputed_any,0,156,0,0.0
A1,roll_01,persistence,residual,11,imputed_any,1,11,0,0.0
A1,roll_01,persistence,residual,11,overall,ALL,167,0,0.0
