mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,mean_test_score,std_test_score,rank_test_score
20.60423942406972,3.654630273591705,4.307445049285889,0.45364453402795873,10,0.7,4,2,"{'max_depth': 10, 'max_features': 0.7, 'min_samples_leaf': 4, 'min_samples_split': 2}",-541.323440297923,-538.2586909079106,-392.377724820228,-351.7562854498578,-291.2978743078797,-304.09404083720574,-403.1846761035008,102.00211404944618,29
20.59215732415517,3.2483812940724444,4.427769859631856,0.5469875913604272,10,0.7,4,5,"{'max_depth': 10, 'max_features': 0.7, 'min_samples_leaf': 4, 'min_samples_split': 5}",-541.3234402979228,-538.2586909079106,-392.377724820228,-351.75628544985784,-291.2978743078797,-304.09404083720574,-403.18467610350075,102.00211404944615,28
20.252777616182964,3.2962234730323057,4.254477699597676,0.3259019371467378,10,0.7,4,10,"{'max_depth': 10, 'max_features': 0.7, 'min_samples_leaf': 4, 'min_samples_split': 10}",-541.7544431648473,-538.6932254523452,-392.53256023767796,-351.9726252853285,-290.97917584915143,-305.00394032610785,-403.4893283859097,102.08596320301665,30
19.405101378758747,2.454496456035307,4.132883946100871,0.2884336774293308,10,0.7,8,2,"{'max_depth': 10, 'max_features': 0.7, 'min_samples_leaf': 8, 'min_samples_split': 2}",-543.9011363211343,-537.6532466400871,-393.7964938337199,-360.38918779352485,-285.6471586190903,-303.58753125259784,-404.16245907669236,102.90078825900503,32
18.778353889783222,2.6798650427834785,3.9070547024408975,0.5272181676171768,10,0.7,8,5,"{'max_depth': 10, 'max_features': 0.7, 'min_samples_leaf': 8, 'min_samples_split': 5}",-543.9011363211343,-537.653246640087,-393.79649383371986,-360.38918779352485,-285.6471586190903,-303.58753125259784,-404.16245907669236,102.900788259005,32
18.10808225472768,2.1667607228745207,3.115539868672689,0.8944976281926785,10,0.7,8,10,"{'max_depth': 10, 'max_features': 0.7, 'min_samples_leaf': 8, 'min_samples_split': 10}",-543.9011363211343,-537.653246640087,-393.7964938337199,-360.38918779352485,-285.6471586190903,-303.58753125259784,-404.16245907669236,102.900788259005,32
14.390295227368673,0.10111128394653765,2.021934668223063,0.5336385165684947,10,sqrt,2,2,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2}",-558.6644168937088,-556.0780621141371,-390.1519914654209,-374.8382472106325,-258.1654336376147,-288.44699783105926,-404.39085819209555,117.40974862363181,35
12.102812886238098,0.12997672332238067,1.6090466578801472,0.3316419653808801,10,sqrt,2,5,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5}",-560.9177123683132,-554.944877349141,-391.0483049813564,-375.1022594359846,-258.8795430767187,-288.5053159090715,-404.89966885343097,117.47656710526242,41
11.085326234499613,0.3873523457668858,1.7469644943873088,0.18873293151648615,10,sqrt,2,10,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10}",-563.3018714470159,-558.5887092082122,-391.37805876551397,-377.9476313026048,-258.2627124898065,-288.3559960726498,-406.30582988096717,118.80922108082395,64
10.888738115628561,0.7376305126847162,1.3612887859344482,0.2879286051816841,10,sqrt,4,2,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2}",-568.3933273786408,-558.5945387840717,-389.5425684330025,-382.5159191486267,-256.72746763473236,-289.5020211395275,-407.5459737531003,119.94357210739385,81
11.478022813796997,0.37877654339004757,1.7550713618596394,0.3673900477322245,10,sqrt,4,5,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5}",-568.3933273786408,-558.5945387840717,-389.5425684330025,-382.51591914862666,-256.72746763473236,-289.5020211395275,-407.54597375310027,119.94357210739385,79
10.793893893559774,0.5926424236413335,1.3355601628621419,0.41605257974567794,10,sqrt,4,10,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10}",-568.466309546111,-559.2301385807365,-390.14627861966164,-384.3889701043632,-256.24299736822366,-296.9610849582318,-409.2392965295546,118.916525891387,105
